Calories/s,Fat/s,Sat_Fat/s,Trans_Fat/s,Mono_Fat/s,Poly_Fat/s,Carbs/s,Fiber/s,Sugars/s,Protein/s,Cholesterol/s,Sodium/s,Recipe,HealthyLabel,ModelPrediction,Timestamp,ModelName,key,ID
320.0457727,12.45692769,7.413375192,0.387207237,3.130692988,0.843436515,42.36845983,8.855477588,7.343202906,9.77402951,30.21586673,226.181444,Barley Risotto with Collard Greens,healthy,healthy,2/22/2020 15:36,David,320.045772712.456927697.4133751920.3872072373.1306929880.84343651542.368459838.8554775887.3432029069.77402951,72
292.1534659,9.478574378,2.382306998,0,5.567733688,1.089393631,46.38179177,8.724658513,4.99725566,7.939535754,7.9625,500.2827507,Barley Salad With Cucumber And Yogurt-Dill Dressing,healthy,healthy,2/22/2020 15:36,David,292.15346599.4785743782.38230699805.5677336881.0893936309999946.381791778.7246585134.997255667.939535754,73
230.3086774,10.96329373,1.502376863,0.0003375,7.376285366,1.625959101,28.84743366,6.906983468,1.9917829,5.943697752,0,12.10141901,Barley Salad With Green Garlic And Snap Peas,healthy,healthy,2/22/2020 15:36,David,230.308677410.963293731.5023768630.00033757.3762853661.6259591009999928.847433666.9069834681.991782899999995.943697752,74
235.6309069,7.800961094,2.804150672,0,3.676556677,0.79849463,36.12530891,7.499211648,2.436707115,7.600534784,12.61553779,319.8569101,Barley Salad with Shiitakes and Feta,healthy,healthy,2/22/2020 15:36,David,235.63090697.8009610942.80415067203.676556676999990.7984946336.125308917.499211647999992.4367071157.600534784,75
763.5831867,29.72643646,4.22024161,0.003575,18.07916835,5.554215564,111.3647202,25.72264203,15.91357104,24.49876209,3.614564198,141.2697673,Barley Salad with Squash And Broccoli,healthy,healthy,2/22/2020 15:36,David,763.583186729.726436464.220241610.00357518.079168355.554215564111.364720225.7226420315.9135710424.49876209,76
271.8552067,8.31191947,5.186268125,0,1.671029238,0.731278086,40.63521209,9.273704828,9.509773901,12.2548154,29.43625484,1678.340631,"Barley Soup With Greens, Fennel, Lemon, And Dill",healthy,healthy,2/22/2020 15:36,David,271.85520678.311919475.18626812501.6710292380.73127808640.635212099.2737048289.50977390112.2548154,77
188.1392956,9.256413113,3.667810448,0,4.071139311,0.838958596,18.08858178,2.026288688,2.0334492,8.717970606,15.8625,287.61185,Barley-Stuffed Peppers,healthy,unhealthy,2/22/2020 15:36,David,188.13929569.256413112999993.66781044804.0711393110.83895859599999918.088581782.0262886882.033449199999998.717970606,78
417.1052689,18.5132036,7.073964285,0.1958125,7.782084797,1.949905294,50.24994736,13.15408272,8.81107596,17.31341034,29.08,489.6198748,Barley-Stuffed Poblanos,healthy,healthy,2/22/2020 15:36,David,417.105268918.51320367.0739642850.19581257.7820847971.94990529450.2499473613.154082728.8110759617.31341034,79
285.0107662,8.52636678,1.2513649,0,5.178362295,1.474386609,47.71323672,10.9523343,10.97736993,9.137744665,0,245.1647288,Barley & Sundried Tomato Salad,healthy,healthy,2/22/2020 15:36,David,285.01076628.526366781.251364905.1783622951.47438660947.7132367210.952334310.977369939.137744665,80
381.1275,10.6142125,3.527474375,0.00324375,4.960470625,1.241068125,65.445925,10.46925,27.94890625,10.024,2.774375,276.3925,"Barley with Apricots, Hazelnuts, Chocolate, and Honey",healthy,healthy,2/22/2020 15:36,David,381.127510.61421253.5274743750.003243754.9604706251.24106812565.44592510.4692527.9489062510.024,81
219.3258882,6.747377862,3.861363246,0.232738,1.625220482,0.663465366,32.70768903,7.952799281,4.451666208,6.832009308,15.265,26.81716387,Barley with Mushrooms and Green Beans Recipe,healthy,healthy,2/22/2020 15:36,David,219.3258881999996.7473778623.8613632460.2327381.625220481999990.66346536632.707689037.9527992814.4516662086.832009308,82
301.9183581,8.60392358,1.3797975,0,5.150551875,1.455147813,49.97914729,12.32886457,1.213616319,9.059522528,0,230.2515874,Barley with Shiitake Mushrooms and Sage recipes,healthy,healthy,2/22/2020 15:36,David,301.91835818.603923581.379797505.1505518751.45514781349.9791472912.328864571.2136163199.05952252799999,83
635.4698984,31.75157598,3.014631961,0.00268125,10.62757837,16.1981033,76.30199122,20.52910791,2.567892602,17.46488739,0,934.9204481,Barley with Winter Greens Pesto Recipe,healthy,healthy,2/22/2020 15:36,David,635.469898431.751575983.0146319610.0026812510.6275783716.198103376.3019912220.529107912.5678926019999917.46488739,84
108.915,7.68465,1.023495,0,4.9771275,1.0499925,8.79375,3.618,2.2713,4.3014,0,249.40773,Basic Kale Chip Recipe,healthy,healthy,2/22/2020 15:36,David,108.9157.684651.02349504.97712751.049992499999998.793753.6182.27134.3014,85
